Dist Name,Image
24 Parganas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/24_Parganas.svg/1200px-24_Parganas.svg.png
Nadia,https://upload.wikimedia.org/wikipedia/commons/0/08/Nadia_district.png
Murshidabad,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Murshidabad_district.svg/1200px-Murshidabad_district.svg.png
Burdwan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bardhaman_district.svg/1200px-Bardhaman_district.svg.png
Birbhum,https://upload.wikimedia.org/wikipedia/commons/1/1b/Birbhum_district.png
Bankura,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Bankura_district.svg/863px-Bankura_district.svg.png
Hooghly,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Hooghly_district.svg/1200px-Hooghly_district.svg.png
Howrah,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Howrah_district.svg/1200px-Howrah_district.svg.png
Jalpaiguri,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Jalpaiguri_district.svg/1200px-Jalpaiguri_district.svg.png
Darjeeling,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Darjeeling_district.svg/736px-Darjeeling_district.svg.png
Malda,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Malda_district.svg/1200px-Malda_district.svg.png
Cooch Behar,https://upload.wikimedia.org/wikipedia/commons/d/dc/Cooch_Behar_district.svg
Purulia,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Purulia_district.svg/575px-Purulia_district.svg.png
Midnapur,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Medinipur_district.svg/1200px-Medinipur_district.svg.png
West Dinajpur,https://upload.wikimedia.org/wikipedia/commons/d/da/Dakshin_Dinajpur_district.svg
